Director,NodeID
Paolo Monico,203
Travis Cluff,7195
John Pasquin,377
James Nunn,10905
Roman Polanski,3544
Jim Gillespie,7957
Mark Pellington,131
Chris Gorak,8373
Andrea Arnold,917
Olivier Dahan,4634
Joseph Mazzella,1559
Sam Peckinpah,6551
Michael Lehmann,6288
Tyler Perry,1745
Anne Fontaine,2065
Gnana Rajasekaran,3864
Stig Bergqvist,3049
Pece Dingo,2499
Bob Rafelson,2565
Leonard Nimoy,8895
Gia Coppola,4394
Alan Metter,7932
Kyle Balda,1151
Joel Anderson,628
Kevin Macdonald,1857
John Cornell,3498
Nick Gomez,3752
Mike Leigh,754
George Armitage,1659
Dan O'Bannon,5314
Britt Allcroft,12048
Blaz Zavrsnik,722
Liv Ullmann,5140
David Zucker,850
Feroz Abbas Khan,6046
Franck Khalfoun,10620
Christopher Hutson,12275
Nick Murphy,4184
Moustapha Akkad,12698
Charlie Levi,8732
Caryn Waechter,8188
Jake Scott,8094
Mike Bigelow,7299
Matt Johnson,9720
Dito Montiel,11930
Brandon Camp,1206
Jonathan Frakes,4503
Jim Issa,4174
Hugh Johnson,10537
Sarik Andreasyan,13551
Fran--ois Girard,572
Giovanni Zelko,1488
Steve Bendelack,11210
Mary Lambert,2590
Richard Attenborough,6185
Wes Craven,1330
Mark Illsley,2525
Andy Garcia,9221
Michael Sucsy,3567
Colin Trevorrow,11963
Sally Potter,9346
Jean-Fran--ois Richet,9058
Drew Goddard,11512
Dominique Othenin-Girard,8862
John Blanchard,1985
Peter Hastings,12735
Udayan Prasad,6055
Dave Green,703
John Stainton,1965
Douglas Trumbull,10893
John Singleton,4744
Robert C. Cooper,5237
Sara Sugarman,5482
Andrew Hyatt,8654
Brett Leonard,3978
David Frankel,3653
Noam Murro,10053
Joe Camp,8258
Gareth Edwards,6526
Nelson McCormick,1898
Gurinder Chadha,8578
Shinji Aramaki,8612
Bryan Barber,12806
John Lafia,1108
Adam Carolla,12781
Dan Cutforth,13056
Leon Ichaso,7257
David Boyd,7620
Phil Joanou,6877
Michel Orion Scott,94
Scott Speer,458
Justin Kerrigan,12132
Eddie O'Flaherty,12837
Keith Gordon,5389
Brian Henson,736
Denys Arcand,11380
Matt Williams,13306
Robert Duvall,9516
James DeMonaco,2302
Dan Fogelman,11368
Craig Zobel,9157
Jaco Booyens,11702
Fernando Le--n de Aranoa,8664
Vijay Chandar,8960
Steven Brill,3788
Irwin Winkler,567
Jeremy Degruson,6448
Jonathan Kaplan,6309
JK Youn,5031
Vivek Agnihotri,13117
Geoff Murphy,7554
Andr-- T--chin--,5132
Stephen Langford,5866
Tuck Tucker,1503
Matthew Bright,9370
Renny Harlin,1642
Andrew Wilson,1780
Bob Gosse,5279
R.J. Cutler,9529
Jim Abrahams,3079
G--rard Krawczyk,12293
Emile Ardolino,9738
Thomas Lilti,6646
Jason Miller,2019
Anthony C. Ferrante,10921
Gary Nelson,9793
Ruairi Robinson,8042
Ruba Nadda,10798
James Kerwin,9828
John McTiernan,2160
David Sington,4519
Alison Maclean,13169
Jonas --kerlund,10182
Betty Thomas,1612
Analeine Cal y Mayor,12177
Jonathan Parker,5542
J--r--me Deschamps,7412
Will Finn,5382
Michael Winterbottom,2535
Kurt Voss,13248
Mark Herman,1096
Yarrow Cheney,9479
Khalil Sullins,5325
Alex Rivera,9990
Klaus Menzel,5540
Pierre Coffin,3550
Costa-Gavras,2484
Pat Holden,995
Reed Cowan,5262
Peter Cattaneo,3805
Valeri Milev,5478
Chan-wook Park,6072
Paolo Sorrentino,4563
Wajahat Rauf,7269
Linda Mendoza,4383
Alex Proyas,4828
Matthew O'Callaghan,11312
Collin Joseph Neal,12213
John Francis Daley,3327
Carroll Ballard,3750
Lori Silverbush,11566
Ericson Core,7658
Willard Huyck,2087
Eric Valette,8368
Ivan Reitman,3778
Angelina Jolie Pitt,5562
Lloyd Bacon,10455
Niels Arden Oplev,8139
Mike Mitchell,1360
Curtis Hanson,1496
Benedek Fliegauf,9673
Mike Disa,3989
John Bonito,13186
Julian Schnabel,8080
John Cromwell,1031
Anurag Basu,6950
Kevin Lima,779
Michael J. Bassett,11270
Daniel Mellitz,3640
Michael Haneke,4246
Don Hall,10642
Chris Koch,3859
