NodeID,Name,Race,Gender
483,Tippi Hedren,White,Female
484,Melanie Griffith,White,Female
485,Zakes Mokae,Black,Male
488,Daoming Chen,,
489,Ni Yan,,
492,Radha Mitchell,White,Female
493,Alan Ruck,White,Male
494,Megan Mullally,White,Female
497,Alex Rocco,White,Male
498,Lukas Haas,White,Male
499,Katherine Helmond,White,Female
502,Virginia Madsen,White,Female
503,Aaron Ashmore,White,Male
504,Lindsey Haun,,
507,Mircea Monroe,,
508,Lew Temple,,
509,Robert Pine,White,Male
512,Michael Rapaport,White,Male
513,Paul Sorvino,White,Male
516,Alex Kendrick,,
517,Jansen Panettiere,,
518,Tiya Sircar,,
521,--scar Jaenada,,
522,Brett Cullen,White,Male
523,Sedona Legge,,
526,B--r--nice Bejo,,
527,Ed Lauter,White,Male
528,Beth Grant,White,Female
531,Alexander Gould,White,Male
532,Ethan Embry,White,Male
535,Liam Neeson,White,Male
536,Brendan Fraser,White,Male
537,Sarah Gadon,,
540,Stephen Macht,White,Male
541,Avery Schreiber,White,Male
542,Angelo Rossitto,,
545,Olivia Munn,Multiracial,Female
546,Dorian Missick,,
549,David Raizor,,
550,Cody Howard,,
551,Martin Kove,White,Male
554,Marlon Brando,White,Male
555,Margot Kidder,White,Female
556,Ned Beatty,White,Male
559,Jake Gyllenhaal,White,Male
560,Geoffrey Arend,White,Male
561,Marley Shelton,White,Female
564,Ken Howard,White,Male
565,Jeremy Northam,White,Male
566,Ray McKinnon,,
569,Johannes Silberschneider,,
570,Clotilde Mollet,,
571,Carlo Cecchi,,
574,Callum Blue,White,Male
575,Jesse Borrego,Hispanic,Male
578,Amy Poehler,White,Female
579,Rainn Wilson,White,Male
580,Stephen Colbert,White,Male
583,Paul Sheehan,,
584,Linus Roache,White,Male
585,Kathy Uyen,,
588,Quincy Jones,Black,Male
589,Penn Jillette,White,Male
590,Russi Taylor,White,Female
593,Michael Jai White,Black,Male
594,Alex Meraz,,
595,Jillian Murray,,
598,Mira Sorvino,White,Female
599,Jennifer Esposito,White,Female
600,Mike Starr,White,Male
602,Andy Lau,Asian,Male
603,Michael Wong,,
604,Terence Yin,,
607,Harold Perrineau,Black,Male
608,Brian Dennehy,White,Male
610,Cory Hardrict,,
611,Vincent Leclerc,,
612,Daniel Rindress-Kay,,
615,Olivia Newton-John,White,Female
616,Stockard Channing,White,Female
617,Sid Caesar,White,Male
620,Drew Powell,,
621,Kim Thomson,,
622,Alexandra Silber,,
625,Talia Zucker,,
626,Rosie Traynor,,
627,Martin Sharpe,,
630,Cedric the Entertainer,Black,Male
633,Naomi Watts,White,Female
634,Eddie Marsan,White,Male
635,Danny Huston,White,Male
638,Bernie Mac,Black,Male
639,Harry Lennix,Black,Male
640,Andre Braugher,Black,Male
642,Akon,Black,Male
643,Nathin Butler,,
644,Razaaq Adoti,,
647,Purva Bedi,,
648,Rizwan Manji,,
649,Anil Kumar,,
652,Scott Grimes,White,Male
653,Mary McCormack,White,Female
654,Ron Eldard,White,Male
657,Taylor Negron,Hispanic,Male
658,Mark Addy,White,Male
659,Danny Woodburn,,
662,Judy Greer,White,Female
663,Hayley Atwell,White,Female
664,T.I.,,
667,Craig Parker,White,Male
668,Kevin Grevioux,,
669,Steven Mackintosh,,
672,John Enos III,White,Male
673,Richard T. Jones,Black,Male
676,Matt Smith,White,Male
677,Bella Heathcote,,
678,Sam Riley,White,Male
681,Mike Stanley,,
682,Jeff Delaney,,
683,Jamison Stalsworth,,
686,Victor Wong,Asian,Male
687,Randall 'Tex' Cobb,,
688,Charlotte Lewis,White,Female
691,Natalie Portman,White,Female
692,Christopher Lee,White,Male
693,Hayden Christensen,White,Male
696,Bruce Davison,White,Male
697,Piper Laurie,White,Female
700,Teo Halm,,
701,Ella Wahlestedt,,
702,Jason Gray-Stanford,White,Male
705,Michael Nouri,White,Male
706,Cynthia Rhodes,White,Female
707,Lee Ving,White,Male
710,Anne Hathaway,White,Female
711,Hector Elizondo,Hispanic,Male
712,Heather Matarazzo,White,Female
715,LisaGay Hamilton,,
716,Bobby Brown,Black,Male
719,Dario Nozic Serini,,
720,Spela Colja,,
721,Andrej Nahtigal,,
724,Kristen Stewart,White,Female
725,Josh Hutcherson,White,Male
726,Jonah Bobo,,
729,Lisa Edelstein,White,Female
730,Milos Forman,White,Male
731,Anne Bancroft,White,Female
734,Jerry Nelson,White,Male
735,Steve Whitmire,,
738,David Oyelowo,,
739,Tom Wilkinson,White,Male
740,Oprah Winfrey,Black,Female
743,Kodi Smit-McPhee,,
744,Ben Mendelsohn,,
747,Thomas Kretschmann,White,Male
748,Bruno Ganz,White,Male
749,Alexandra Maria Lara,White,Female
752,Sally Hawkins,White,Female
753,Imelda Staunton,White,Female
756,Sissy Spacek,White,Female
757,James D'Arcy,White,Male
758,Vernon Dobtcheff,White,Male
761,Elpidia Carrillo,,
762,Zaide Silvia Guti--rrez,,
763,Dami--n Delgado,,
766,Danneel Ackles,,
767,Noureen DeWulf,,
768,Tom Bosley,White,Male
771,Nora Dunn,White,Female
772,Lina Esco,,
773,Alix Freihage,,
776,Jeff Bennett,White,Male
777,Teala Dunn,,
778,Fred Tatasciore,,
781,Jaime King,White,Female
782,Mako,Asian,Male
783,Victoria Smurfit,,
786,Roddy McDowall,White,Male
787,Walter Pidgeon,White,Male
788,Barry Fitzgerald,White,Male
791,Naseeruddin Shah,,
792,Randeep Hooda,,
793,Lillete Dubey,,
796,Sanaa Lathan,Black,Female
797,Colin Salmon,Black,Male
798,Raoul Bova,White,Male
801,Jon Favreau,White,Male
802,Kristin Davis,White,Female
803,Tasha Smith,Black,Female
806,Neil Brown Jr.,,
807,Leslie Hope,,
809,Kevin Howarth,,
810,Mark Caven,,
811,Thierry Harcourt,,
814,Denis O'Hare,White,Male
815,Lucas Grabeel,White,Male
818,Tom Cullen,,
819,Chris New,,
820,Vauxhall Jermaine,,
823,Hugh Jackman,White,Male
824,Cara Delevingne,White,Female
825,Nonso Anozie,,
828,Zachary Gordon,,
829,Rachael Harris,White,Female
830,Karan Brar,,
833,Bryce Dallas Howard,White,Female
834,Jeremy Davies,White,Male
835,Jean-Marc Barr,White,Male
838,Jim Parsons,White,Male
839,Josh Gad,White,Male
840,Michael Weston,,
843,Robin Williams,White,Male
844,John Michael Higgins,White,Male
847,Carmen Electra,White,Female
848,Tyler Labine,White,Male
849,Molly Shannon,White,Female
852,Johnny Depp,White,Male
853,Ruth Wilson,,
856,Tim Conway,White,Male
857,Billy West,White,Male
858,Eddie Deezen,White,Male
861,Aidan Quinn,White,Male
862,Kendrick Cross,,
863,Sammy Nagi Njuguna,,
866,Catherine Deneuve,White,Female
867,Terence Hill,White,Male
868,Jack O'Halloran,White,Male
871,Michael Abbott Jr.,,
872,Natalie Canerday,,
873,Travis Smith,,
876,Alex Gibney,,
877,George W. Bush,White,Male
878,Greg D'Agostino,,
881,J.K. Simmons,,
884,Scarlett Johansson,White,Female
885,Morgan Freeman,Black,Male
886,Amr Waked,,
889,Jennifer Ehle,White,Female
890,Parker Sawyers,,
893,Ed Begley Jr.,White,Male
894,Cliff Robertson,White,Male
895,Lillo Brancato,Hispanic,Male
898,Ivana Milicevic,White,Female
899,China Chow,,
901,Mekhi Phifer,Black,Male
902,Chris Brown,Black,Male
903,Loretta Devine,Black,Female
906,Jim Gaffigan,White,Male
907,Michael Mosley,White,Male
910,Darren Shahlavi,,
911,Aki Aleong,,
912,Brahim Achabbakhe,,
915,Harry Treadaway,,
916,Jason Maza,,
919,Dylan Walsh,White,Male
920,Joe Don Baker,White,Male
921,Grant Heslov,White,Male
924,Lee Marvin,White,Male
925,Angie Dickinson,White,Female
926,Carroll O'Connor,White,Male
929,Alyson Hannigan,White,Female
930,Emma Caulfield,White,Female
932,Bella Thorne,White,Female
933,Joshua Mikel,,
934,Jesse McCartney,White,Male
937,Natasha Lyonne,White,Female
938,Emmanuel Kabongo,,
941,Henry Cavill,White,Male
942,Lauren Cohan,White,Female
943,Alan D. Purwin,,
946,Tom Cruise,White,Male
947,Lara Pulver,,
948,Noah Taylor,White,Male
951,Steve Coogan,White,Male
952,Mare Winningham,White,Female
953,Peter Hermann,White,Male
956,Andrew Keegan,White,Male
957,John Heard,White,Male
960,Colleen Dewhurst,White,Female
961,Peter Finch,White,Male
962,Beatrice Straight,White,Female
965,Honor Blackman,White,Female
966,Gert Fr--be,,
967,Lois Maxwell,White,Female
970,Yaphet Kotto,Black,Male
971,Maria Conchita Alonso,Hispanic,Female
972,Richard Dawson,White,Male
975,Mary Kate Wiles,,
976,Jennifer Landa,,
977,Felix Avitia,,
980,Paul Guilfoyle,White,Male
981,Bill Nunn,Black,Male
984,Sean Patrick Thomas,Black,Male
985,Terry Kinney,White,Male
986,Fredro Starr,Black,Male
988,Adam Goldberg,White,Male
989,Thomas Lennon,White,Male
992,Alan Brent,,
993,Martin Compston,,
994,Kate Ashfield,White,Female
997,Hill Harper,Black,Male
998,Robinne Lee,,
999,Chenoa Maxwell,,
1002,Matt Walsh,,
1003,Katie Aselton,White,Female
1006,Woody Allen,White,Male
1007,John Carradine,White,Male
1010,Christian Bale,White,Male
1011,Heath Ledger,White,Male
1012,Tyrone Benskin,,
1015,Kumar Gaurav,,
1016,Rufus Graham,,
1017,Aasheekaa Bathija,,
1020,Fay Masterson,,
1021,Brian Howe,,
1022,Larry Blamire,,
1025,Kevin McNally,White,Male
1026,Geoff Bell,,
1028,David Niven,White,Male
1029,Mary Astor,White,Female
1030,Ronald Colman,White,Male
1033,Wilford Brimley,White,Male
1034,Richard Masur,White,Male
1035,David Clennon,White,Male
1038,Peter Gallagher,White,Male
1039,Terry Walters,,
1040,Amy Irving,White,Female
1043,Robert De Niro,White,Male
1044,Blythe Danner,White,Female
1045,Teri Polo,White,Female
1047,Vic Mignogna,,
1048,Omar Benson Miller,,
1049,Anupam Kher,,
1052,Alan Oppenheimer,,
1055,Tony Curran,,
1056,Alicja Bachleda,,
1058,Ted Danson,White,Male
1059,Hal Holbrook,White,Male
1060,Adrienne Barbeau,White,Female
1063,Hope Davis,White,Female
1064,Michael Rispoli,White,Male
1066,Irene Bedard,American Aborigine,Female
1067,Akima,,
1068,Max Gail,White,Male
1071,Phil LaMarr,Black,Male
1073,Brian Blessed,White,Male
1076,Robert Downey Jr.,White,Male
1077,Adam Alexi-Malle,,
1078,Jamie Kennedy,White,Male
1081,Katharine Isabelle,White,Female
1082,Michelle Nolden,,
1083,Gabriel Hogan,White,Male
1086,Kathryn Morris,White,Female
1087,Peter Coyote,White,Male
1090,Damon Wayans,Black,Male
1091,Jane Krakowski,White,Female
1094,Annette Badland,,
1095,Brenda Blethyn,White,Female
1098,Anthony Hopkins,White,Male
1099,Angelina Jolie Pitt,,
1102,Jenna Elfman,White,Female
1103,Heather Locklear,White,Female
1106,Jenny Agutter,White,Female
1107,Greg Germann,White,Male
