NodeID,Name,Race,Gender
1142,Justin Lin,Asian,Male
9335,Gideon Raff,,
1147,Terry George,White,Male
9340,Christophe Barratier,,
9342,Brian Koppelman,,
1151,Kyle Balda,,
1154,Danny DeVito,White,Male
1158,Darren Aronofsky,White,Male
1163,A. Raven Cruz,,
9356,Stuart Gordon,White,Male
1168,Bob Clark,White,Male
1173,Richard Wallace,White,Male
9366,Carl Theodor Dreyer,White,Male
1178,William Dear,White,Male
1182,Peter Weir,White,Male
9377,Charles Chaplin,,
1189,George Miller,White,Male
9384,Joe Cornish,,
1194,Rick Friedberg,,
9388,Avi Nesher,,
1197,Nicolas Winding Refn,White,Male
9392,Jorge R. Guti--rrez,,
12488,Anthony Silverston,,
1202,Daniel Barnz,,
1206,Brandon Camp,,
1210,Jesse Dylan,,
1214,Greg Mottola,White,Male
9409,Tom Sanchez,,
1219,Aaron Hann,,
1221,Tom Tykwer,White,Male
9414,Scott Waugh,,
1223,Robert Altman,White,Male
9416,Damien O'Donnell,,
1228,Norman Jewison,White,Male
9422,Jason Alexander,White,Male
1232,Steven Soderbergh,White,Male
9430,Tom McLoughlin,,
1240,Conor McMahon,,
1244,Jay Russell,,
1249,George Sidney,White,Male
1252,Peter Webber,,
1257,Julio DePietro,,
1263,Brian De Palma,White,Male
9457,Chad Kapper,,
1268,Nicholas Stoller,White,Male
1271,Bruce Hunt,,
9465,Tom Hanks,White,Male
1278,Dennis Hopper,White,Male
1282,Catherine Hardwicke,,
9771,Benny Boom,,
9476,Craig R. Baxley,White,Male
1286,Rakesh Roshan,,
9479,Yarrow Cheney,,
1289,Andy Tennant,White,Male
1293,Martin Scorsese,White,Male
9486,David Lam,,
1295,Andrzej Bartkowiak,,
9488,Damien Dante Wayans,,
9490,Chris Eyre,,
1300,Dylan Bank,,
1305,Ralph Ziman,,
9775,Sam Weisman,,
1309,Seth MacFarlane,White,Male
9502,David Duchovny,White,Male
1312,Stephen Hopkins,White,Male
1316,Francis Ford Coppola,White,Male
9509,Roger Vadim,White,Male
9511,Anna Boden,,
1321,Douglas McGrath,,
9516,Robert Duvall,White,Male
1325,Peter Farrelly,White,Male
9518,Fred Durst,White,Male
1330,Wes Craven,White,Male
9523,Andrew Erwin,,
1332,Wally Pfister,,
9529,R.J. Cutler,,
9531,Kinka Usher,,
9534,Allen Hughes,Black,Male
9536,Joe Roth,White,Male
1345,D.W. Griffith,,
1349,James Mangold,White,Male
9543,Ralph Nelson,White,Male
9546,Garth Jennings,,
1356,Tim Burton,White,Male
1360,Mike Mitchell,,
9555,Louis C.K.,,
1364,Barry Sonnenfeld,White,Male
