"Source","Target","Weight","Type"
"The Virginity Hit","Krysta Rodriguez","1","Undirected"
"The Virginity Hit","Zack Pearlman","1","Undirected"
"The Virginity Hit","Huck Botko","1","Undirected"
"Case 39","Callum Rennie","1","Undirected"
"Case 39","Vanesa Tomasino","1","Undirected"
"Case 39","Christian Alvart","1","Undirected"
"Case 39","Bradley Cooper","1","Undirected"
"Bradley Cooper","10 Cloverfield Lane","1","Undirected"
"Bradley Cooper","The Hangover","1","Undirected"
"Bradley Cooper","American Hustle","1","Undirected"
"Bradley Cooper","Failure to Launch","1","Undirected"
"Bradley Cooper","The Midnight Meat Train","1","Undirected"
"Bradley Cooper","Burnt","1","Undirected"
"Bradley Cooper","Silver Linings Playbook","1","Undirected"
"Bradley Cooper","Yes Man","1","Undirected"
"Bradley Cooper","All About Steve","1","Undirected"
"Bradley Cooper","Aloha","1","Undirected"
"Bradley Cooper","The Rocker","1","Undirected"
"Bradley Cooper","The Words","1","Undirected"
"Bradley Cooper","Valentine's Day","1","Undirected"
"Bradley Cooper","The Hangover Part II","1","Undirected"
"Bradley Cooper","American Sniper","1","Undirected"
"Bradley Cooper","Hit and Run","1","Undirected"
"Bradley Cooper","Guardians of the Galaxy","1","Undirected"
"Bradley Cooper","Joy","1","Undirected"
"Callum Rennie","Gunless","1","Undirected"
"Callum Rennie","eXistenZ","1","Undirected"
"Callum Rennie","Fifty Shades of Grey","1","Undirected"
"Callum Rennie","Code Name: The Cleaner","1","Undirected"
"Callum Rennie","Shattered","1","Undirected"
"Callum Rennie","Memento","1","Undirected"
"Callum Rennie","Paycheck","1","Undirected"
"Callum Rennie","The Young and Prodigious T.S. Spivet","1","Undirected"
"Callum Rennie","The X Files: I Want to Believe","1","Undirected"
"Callum Rennie","Warcraft","1","Undirected"
"Christian Alvart","Pandorum","1","Undirected"
"The Peacemaker","Armin Mueller-Stahl","1","Undirected"
"The Peacemaker","Holt McCallany","1","Undirected"
"The Peacemaker","Marcel Iures","1","Undirected"
"The Peacemaker","Mimi Leder","1","Undirected"
"Armin Mueller-Stahl","Shine","1","Undirected"
"Armin Mueller-Stahl","The Game","1","Undirected"
"Armin Mueller-Stahl","Angels & Demons","1","Undirected"
"Armin Mueller-Stahl","The International","1","Undirected"
"Holt McCallany","Creepshow 2","1","Undirected"
"Holt McCallany","Alien 3","1","Undirected"
"Marcel Iures","The Cave","1","Undirected"
"Mimi Leder","Deep Impact","1","Undirected"
